from,to,distance
0,1,35.25
1,0,35.25
2,3,32.61
3,2,32.61
4,48,43.19
5,6,23.25
6,5,23.25
7,8,31.45
8,7,31.45
9,10,88.3
10,9,88.3
12,129,64.75
15,16,23.59
16,15,23.59
17,18,43.13
18,17,43.13
19,37,44.85
22,23,43.25
23,22,43.25
25,21,48.43
27,28,39.72
28,27,39.72
29,9,24.05
9,29,24.05
32,4233,37.28
33,34,69.87
34,33,69.87
35,36,25.71
36,35,25.71
38,26,127.93
26,38,127.93
1,39,25.94
39,1,25.94
40,30,19.43
41,42,41.15
42,41,41.15
44,45,25.81
45,44,25.81
46,19,157.34
47,13,29.23
13,47,29.23
48,15,67.97
49,71,99.05
3,43,32.17
43,3,32.17
50,51,99.27
51,88,92.79
26,29,23.09
29,26,23.09
52,53,72.79
53,52,72.79
54,55,26.7
55,54,26.7
56,85,80.41
37,82,42.14
57,58,55.62
58,57,55.62
59,60,59.39
60,59,59.39
61,52,45.56
52,61,45.56
62,63,19.59
63,62,19.59
65,77,41.73
6,66,31.17
66,6,31.17
67,68,27.48
68,67,27.48
10,69,77.69
69,10,77.69
70,24,35.99
24,70,35.99
71,49,99.62
72,73,51.49
73,72,51.49
74,75,36.35
75,74,36.35
39,76,128.18
76,39,128.18
77,55,153.76
58,78,26.76
78,58,26.76
68,4,180.24
14,59,24.82
59,14,24.82
79,74,97.99
74,79,97.99
80,81,109.14
81,80,109.14
82,37,42.44
71,131,26.5
83,41,45.15
41,83,45.15
75,11,48.23
11,75,48.23
13,20,28.03
20,13,28.03
34,70,93.71
70,34,93.71
42,84,41.26
84,42,41.26
28,72,75.6
72,28,75.6
84,80,74.39
80,84,74.39
19,25,37.96
85,89,89.23
86,0,15.26
0,86,15.26
23,31,21.98
31,23,21.98
16,4234,85.06
11,87,26.37
87,11,26.37
24,14,24.22
14,24,24.22
45,83,30.38
83,45,30.38
86,0,15.57
88,56,81.67
30,40,22.07
89,65,54.66
8,90,22.05
90,8,22.05
43,61,107.43
61,43,107.43
91,129,55.63
82,92,86.54
92,93,30.94
94,95,32.16
95,118,53.63
67,96,20.5
96,36,54.4
97,93,66.58
98,99,60.98
99,98,60.98
99,27,34.63
27,99,34.63
37,19,50.49
12,91,33.4
73,100,64.47
100,73,64.47
100,40,20.66
40,100,20.66
30,101,23.68
101,102,66.49
102,494,95.12
103,51,82.29
51,103,82.29
104,33,157.91
33,104,157.91
21,105,80.79
105,106,73.37
106,107,21.56
107,64,18.95
54,108,90.83
108,54,90.83
109,17,44.48
17,109,44.48
110,5,20.72
5,110,20.72
111,2,96.24
2,111,96.24
66,112,34.42
112,66,34.42
62,113,200.0
113,114,200.0
114,115,200.0
115,116,113.81
116,117,113.81
117,2127,49.83
118,32,129.24
87,119,37.83
119,87,37.83
119,94,70.72
94,119,70.72
93,92,30.65
92,82,86.51
64,120,15.19
120,4235,23.24
55,140,43.76
121,122,98.55
122,123,19.47
123,67,23.73
93,97,63.54
64,124,22.17
124,64,22.17
125,109,21.72
109,125,21.72
126,38,75.17
38,126,75.17
36,127,52.68
127,36,52.68
127,128,37.96
128,127,37.96
128,97,16.07
97,128,16.07
129,130,81.75
130,46,69.75
131,90,45.07
132,22,43.14
22,132,43.14
133,138,28.42
42,104,57.34
104,42,57.34
60,132,69.67
132,60,69.67
134,94,192.06
31,135,96.63
135,31,96.63
136,134,24.65
137,133,18.31
138,136,47.48
78,108,79.73
108,78,79.73
139,132,151.92
132,139,151.92
140,141,72.18
141,4236,23.54
90,71,71.39
49,110,74.5
110,49,74.5
124,142,17.22
142,124,17.22
142,125,18.95
125,142,18.95
143,144,188.0
144,383,188.0
145,1611,65.01
146,366,25.11
147,148,41.93
148,147,41.93
149,1129,32.41
151,152,72.94
152,151,72.94
153,4237,94.54
155,370,42.03
156,638,19.96
158,789,60.68
160,161,44.18
161,160,44.18
162,1464,85.67
164,1749,122.12
165,4238,33.95
166,4239,146.38
169,170,28.7
170,169,28.7
170,171,28.7
171,170,28.7
172,553,19.43
174,828,129.34
175,458,23.91
176,304,20.87
177,178,43.61
178,177,43.61
178,179,43.61
179,178,43.61
180,688,42.13
181,182,47.77
182,512,47.77
183,443,51.16
184,500,69.72
185,1997,20.14
186,1076,56.22
189,510,32.7
190,4240,53.14
191,192,199.71
192,191,199.71
193,1069,40.82
201,951,30.01
203,841,45.31
204,205,18.15
205,204,18.15
206,207,47.06
207,206,47.06
209,1048,16.45
210,211,200.0
211,212,154.76
212,994,154.77
215,497,42.1
217,1270,15.17
218,2355,17.98
219,220,34.85
220,219,34.85
221,222,34.85
222,1330,34.85
223,185,38.96
224,225,44.94
225,224,44.94
227,421,72.42
228,1620,48.29
230,975,22.57
232,1411,91.57
234,529,61.08
236,2157,43.93
237,869,38.88
199,637,53.71
238,360,71.11
239,240,60.74
240,239,60.74
241,242,35.14
242,936,35.14
244,245,25.84
245,964,25.84
246,488,22.16
248,597,36.79
213,249,25.44
249,687,25.45
250,251,30.98
251,332,30.98
252,2296,116.45
253,755,54.44
258,217,18.88
259,201,42.7
260,261,39.24
261,425,42.64
262,437,59.5
263,929,17.09
264,4241,200.0
265,322,137.23
266,824,29.91
267,532,44.9
268,1217,137.33
269,270,34.07
270,269,34.07
273,1155,51.16
247,314,30.89
274,226,92.1
277,155,16.64
278,377,22.32
279,711,118.87
280,1044,88.52
281,282,123.84
282,281,123.84
225,283,25.47
283,225,25.47
284,1125,128.4
285,760,30.96
247,314,31.58
286,477,44.23
288,4242,200.0
289,290,135.65
290,1485,135.66
291,310,33.4
292,717,190.66
293,294,17.61
294,293,17.61
297,1759,31.41
299,818,74.41
300,190,22.95
302,540,28.61
303,562,17.53
304,215,28.65
305,306,36.14
306,184,36.14
216,1083,34.61
189,906,89.0
308,897,22.12
309,1911,86.04
255,1126,21.44
311,467,26.42
312,157,39.75
313,314,47.71
314,313,47.71
315,670,64.11
234,154,60.64
317,318,27.71
318,460,27.95
319,320,17.76
320,319,17.76
321,2133,84.54
168,169,44.3
323,324,32.41
324,323,32.41
324,325,32.42
325,324,32.42
326,2325,23.28
327,328,46.06
328,327,46.06
329,330,16.69
330,329,16.69
331,2044,30.68
332,370,35.33
333,602,74.53
334,1971,32.72
335,336,32.59
336,195,32.59
337,718,138.19
338,1289,64.28
339,547,125.75
341,612,29.95
342,1704,34.64
343,344,216.53
344,343,216.53
345,439,58.59
346,1047,93.07
274,226,89.9
347,400,22.69
148,348,26.23
348,148,26.23
349,909,43.25
351,654,52.25
352,1039,16.82
353,813,47.77
354,712,23.89
355,150,33.34
356,1757,26.74
357,544,17.62
358,359,23.12
359,358,23.12
360,824,80.76
361,362,21.71
362,361,21.71
348,363,27.9
363,348,27.9
364,685,31.89
257,863,65.8
365,621,41.88
366,193,28.14
283,367,42.24
367,283,42.24
368,604,42.46
369,370,50.0
370,332,25.69
332,331,25.69
371,463,27.55
372,955,95.46
374,623,32.22
375,1839,89.01
376,774,85.5
377,950,18.15
378,275,29.25
380,853,19.33
381,685,24.96
382,596,99.32
383,2258,16.01
384,385,18.37
385,384,18.37
386,387,50.0
387,388,50.0
388,389,50.0
389,390,50.0
390,391,50.0
391,392,50.0
392,393,50.0
393,394,50.0
394,395,50.0
395,396,43.43
396,237,43.44
399,684,52.09
400,187,49.68
401,2165,16.4
402,403,32.15
403,692,32.15
404,636,33.57
405,2180,130.84
406,407,50.0
407,408,50.0
408,409,42.58
409,452,42.58
410,312,34.09
411,1232,32.82
412,1875,64.79
414,840,16.62
415,2251,125.58
416,417,37.27
417,416,37.27
418,667,19.48
420,399,57.82
421,351,25.93
216,788,16.63
422,431,86.58
423,767,74.32
424,2273,64.06
425,272,28.47
426,870,33.53
427,174,70.48
428,1057,51.32
429,159,23.51
430,720,72.39
250,2044,62.09
431,637,59.23
432,433,50.0
433,434,50.0
434,435,50.0
435,436,39.14
436,2106,39.14
437,551,43.66
414,232,51.94
439,907,19.17
441,165,37.33
442,616,18.58
443,1105,54.3
445,4243,17.96
379,1287,37.29
447,957,19.32
448,449,50.0
449,448,50.0
449,450,35.18
450,449,35.18
450,451,35.18
451,450,35.18
452,453,33.28
453,568,33.28
454,900,60.75
455,456,50.0
456,455,50.0
456,457,26.05
457,456,26.05
457,301,26.05
301,457,26.05
161,214,52.3
214,161,52.3
458,267,90.63
460,461,30.87
461,1134,30.82
462,296,29.61
463,371,18.65
464,350,74.01
465,1061,29.06
466,520,32.82
467,311,26.5
468,230,27.24
469,470,22.85
470,471,200.0
471,472,118.74
472,473,118.74
473,474,169.35
474,2232,169.37
276,2125,49.9
475,476,46.23
476,187,46.23
477,734,32.8
478,479,164.56
479,1725,164.56
480,158,52.07
481,150,17.51
150,481,17.51
482,2232,81.36
484,485,50.0
485,486,50.0
486,487,40.58
487,534,40.58
488,516,97.76
490,302,48.19
491,492,74.12
492,491,74.12
494,30,178.63
495,814,73.79
496,198,34.42
497,1760,84.37
168,455,15.26
498,959,30.07
499,528,17.79
500,4244,148.49
502,1029,64.0
503,846,156.07
504,1997,83.05
492,505,36.98
505,492,36.98
506,823,35.53
508,509,50.0
509,510,33.27
510,189,33.28
511,1973,32.16
512,513,50.0
513,514,40.67
514,1112,40.67
515,1106,79.16
516,1162,21.19
517,518,36.77
518,2543,36.77
519,537,159.99
382,536,69.51
523,524,17.19
524,523,17.19
525,357,48.18
526,577,86.63
527,483,52.43
528,2245,27.47
529,1885,120.78
530,652,97.59
532,564,254.14
196,550,34.6
533,1064,37.87
534,798,23.1
535,840,231.26
536,873,27.19
537,383,63.78
538,539,132.28
539,2060,132.28
230,231,62.33
540,758,61.91
542,543,38.79
543,542,38.79
544,1529,46.41
545,175,37.76
546,181,16.84
181,546,16.84
547,548,22.21
548,904,17.6
549,281,52.24
281,549,52.24
271,1125,129.23
551,437,43.33
552,1128,15.9
553,172,22.02
203,652,48.45
554,555,200.0
555,556,157.08
556,1351,157.1
557,558,38.0
558,625,38.0
559,560,29.47
560,838,29.47
561,1349,36.34
562,1417,185.22
419,206,37.18
206,419,37.18
563,1895,42.23
564,532,260.05
565,423,72.15
186,933,67.22
566,2152,39.9
568,949,20.88
569,570,32.57
570,569,32.57
570,571,32.57
571,570,32.57
572,2336,45.18
573,1193,91.39
574,806,71.51
323,4245,35.42
575,576,87.79
576,575,87.79
577,4246,76.1
578,579,32.29
579,578,32.29
579,580,32.29
580,579,32.29
581,793,125.95
272,2340,26.6
582,583,20.55
583,582,20.55
584,585,129.14
585,469,129.14
379,586,56.3
586,379,56.3
226,631,32.45
229,589,32.69
589,340,32.69
309,590,50.0
590,309,50.0
590,591,50.0
591,590,50.0
591,592,27.45
592,591,27.45
592,593,27.45
593,592,27.45
594,1550,47.57
248,2031,18.4
595,928,49.09
596,937,52.68
597,315,50.03
598,1937,29.8
599,600,50.0
600,601,50.0
601,196,31.24
196,633,28.66
602,603,37.92
603,333,37.92
604,180,48.82
605,334,23.85
226,271,44.04
455,168,15.33
608,1229,20.99
609,610,16.07
610,609,16.07
611,805,15.78
488,2216,40.65
613,638,28.65
615,400,55.04
616,260,25.43
617,826,20.95
618,619,28.91
619,618,28.91
619,542,24.92
542,619,24.92
620,952,23.91
622,418,33.86
623,432,43.07
624,147,30.25
147,624,30.25
559,544,101.38
626,1259,18.96
198,496,40.79
564,2042,322.44
628,629,30.48
629,628,30.48
629,630,38.92
630,629,38.92
276,1070,47.29
631,284,25.44
632,1666,46.99
633,196,17.41
634,635,42.53
635,634,42.53
637,431,58.82
638,156,22.62
350,1702,102.99
639,640,50.0
640,641,44.36
641,255,44.36
642,1414,38.71
325,643,36.01
643,325,36.01
431,422,86.06
201,714,19.7
162,2013,46.53
644,806,24.86
481,4247,20.75
645,469,195.09
646,2221,127.62
325,757,72.58
587,647,45.76
647,587,45.76
648,1441,102.86
633,550,45.05
649,582,78.64
650,651,28.15
651,1705,28.15
652,530,97.64
342,401,43.46
653,1512,19.12
654,1012,64.05
333,656,50.0
656,657,50.0
657,658,34.93
658,962,34.93
659,788,79.88
660,2176,64.14
287,167,15.59
661,595,187.05
365,711,48.91
662,663,20.12
663,662,20.12
367,664,32.1
664,367,32.1
665,350,22.52
659,981,83.35
666,1621,22.69
667,622,32.03
668,1062,31.25
670,1875,70.1
671,368,61.69
508,881,45.12
672,673,32.55
673,181,32.55
674,235,96.41
266,398,18.21
675,465,48.78
676,677,50.0
677,678,32.93
678,1723,32.93
680,951,64.31
681,239,22.54
256,244,30.37
683,491,48.96
491,683,48.96
684,527,149.15
685,364,31.53
542,4248,35.44
244,964,51.64
686,2159,133.14
687,940,43.28
688,1382,89.84
413,757,78.49
689,428,66.88
690,691,16.01
691,2083,22.64
692,402,65.71
694,695,192.49
695,1383,192.49
237,643,61.82
484,696,41.23
696,1071,41.23
697,516,45.74
516,697,45.74
298,698,19.6
698,298,19.6
489,699,67.28
699,489,67.28
700,424,99.06
221,303,175.01
701,702,50.0
702,701,50.0
702,703,33.66
703,702,33.66
703,704,33.66
704,703,33.66
705,706,50.0
706,705,50.0
706,707,42.68
707,706,42.68
707,618,42.68
618,707,42.68
708,875,27.89
709,895,31.41
710,1779,69.13
711,365,48.96
712,4249,29.13
483,467,91.01
713,1448,139.34
644,574,81.75
671,213,46.71
714,1043,22.33
716,815,38.53
686,716,32.24
621,365,41.27
717,320,73.53
636,924,47.34
315,2297,59.12
718,252,131.84
506,1001,20.02
650,531,36.59
377,343,87.01
343,377,87.01
256,244,20.11
720,1813,211.37
721,1524,128.57
722,1475,158.57
724,2256,127.17
520,440,56.08
726,1824,78.44
727,899,118.11
728,1356,64.45
729,730,50.0
730,731,50.0
731,732,39.55
732,1023,39.55
733,351,36.51
734,735,25.9
735,355,25.9
736,737,46.28
737,989,46.28
664,738,46.88
738,664,46.88
739,1263,24.92
740,4250,59.31
741,495,57.51
742,710,42.64
359,743,32.92
743,359,32.92
744,2282,40.1
745,746,50.0
746,747,50.0
747,748,25.01
748,1925,25.01
749,750,17.89
750,749,17.89
194,751,50.0
751,752,32.07
752,568,32.07
753,1088,17.88
754,337,110.57
755,934,50.58
522,382,71.06
757,953,32.95
758,1222,27.69
761,1172,63.46
762,763,98.63
763,762,98.63
764,2229,51.47
756,1618,29.87
766,1120,91.15
767,2024,50.31
768,769,35.9
769,768,35.9
771,185,22.21
692,772,50.0
772,773,50.0
773,774,50.0
774,775,39.63
775,376,39.63
631,271,16.59
776,4251,24.2
777,778,39.03
778,1118,39.03
167,287,16.53
780,454,23.11
152,749,21.13
749,152,21.13
588,228,31.98
351,808,65.35
781,1017,129.58
521,573,17.01
512,546,95.75
782,809,69.06
783,2216,15.03
784,299,64.97
785,786,30.54
786,785,30.54
786,787,30.54
787,786,30.54
788,4252,142.11
789,1827,22.87
790,791,58.08
791,790,58.08
793,975,53.74
794,795,50.0
795,794,50.0
796,797,187.71
797,1404,187.72
798,799,50.0
799,800,50.0
800,801,29.15
801,484,29.15
802,655,20.33
803,250,18.05
804,2182,76.74
805,426,51.51
806,798,15.37
807,766,17.67
808,253,65.28
726,1903,75.49
231,599,25.22
809,521,47.63
188,837,23.31
606,653,53.65
810,811,26.11
811,810,26.11
811,812,26.11
812,811,26.11
813,718,136.44
814,184,21.32
815,2159,63.96
597,670,57.08
816,402,26.52
817,300,37.15
818,819,37.2
819,299,37.2
820,821,29.22
821,833,29.22
262,1902,15.17
822,352,26.81
823,1107,60.74
368,960,50.48
787,825,34.28
825,787,34.28
826,617,17.25
827,499,71.42
828,398,18.32
363,587,51.83
587,363,51.83
829,371,94.0
699,792,139.85
792,699,139.85
830,831,200.0
831,832,111.95
832,854,111.95
834,676,92.86
750,683,70.6
683,750,70.6
836,999,79.55
837,872,18.49
838,598,39.31
402,626,20.03
839,627,31.73
627,839,31.73
840,414,16.09
198,736,139.06
841,203,45.29
842,843,22.05
843,842,22.05
844,624,36.43
624,844,36.43
200,845,38.92
845,317,38.93
846,777,49.71
847,298,36.76
848,849,200.0
849,850,109.07
850,2001,109.08
851,190,18.85
852,911,35.49
440,466,23.24
853,1002,16.51
854,1034,38.95
504,666,15.33
417,567,149.02
855,1620,33.72
187,347,26.58
295,780,26.9
856,820,29.36
857,614,46.07
371,858,43.47
858,1049,43.47
859,925,31.54
860,166,77.53
861,531,83.09
630,862,17.7
862,630,17.7
814,863,50.0
863,864,25.9
864,257,25.9
638,373,21.0
257,865,28.22
865,257,28.22
865,177,28.23
177,865,28.23
173,833,26.54
362,844,54.65
844,362,54.65
866,1116,43.03
867,868,44.21
868,867,44.21
869,325,26.73
870,2116,60.33
871,1354,63.1
872,188,22.04
873,874,30.54
874,1138,30.54
875,1140,125.23
876,354,39.37
877,1944,26.47
878,1172,28.16
807,766,17.56
879,1028,31.2
880,430,98.97
663,882,25.57
882,663,25.57
226,1552,126.01
883,1536,61.06
884,1675,43.4
885,1731,16.77
243,886,50.0
886,887,50.0
887,888,44.82
888,522,44.82
889,890,36.95
890,889,36.95
891,2251,54.52
588,892,44.13
892,588,44.13
893,1503,53.44
894,1018,205.28
833,173,26.69
895,1021,114.21
505,361,45.79
361,505,45.79
785,896,32.64
896,785,32.64
897,194,63.73
898,1827,31.64
899,1341,33.46
900,1041,16.81
901,915,50.33
902,903,25.13
903,902,25.13
905,639,48.38
687,415,31.53
906,376,20.48
908,1823,88.11
909,349,41.66
910,202,134.77
911,146,164.99
149,1675,49.4
912,913,35.23
913,223,35.23
915,636,84.04
156,613,30.62
916,581,42.36
917,1107,47.38
918,1244,31.78
900,919,30.21
919,454,30.21
920,921,155.46
921,1364,155.47
568,2037,47.9
922,399,67.06
924,901,75.0
345,1081,24.95
895,526,104.02
925,273,31.53
213,960,30.75
926,1502,131.01
163,700,108.78
928,221,46.09
655,552,52.99
929,1051,54.14
930,931,38.1
931,930,38.1
931,578,38.1
578,931,38.1
932,1620,25.08
933,1003,36.63
259,380,123.02
936,309,25.71
937,983,16.82
610,938,16.41
938,610,16.41
328,697,39.16
697,328,39.16
939,316,28.97
316,939,28.97
940,1465,77.89
941,942,47.99
942,941,47.99
399,420,59.47
943,333,78.62
944,273,87.8
945,946,28.56
946,945,28.56
946,768,28.56
768,946,28.56
940,687,46.05
947,224,32.26
224,947,32.26
949,897,29.49
950,561,37.43
275,378,29.32
951,1456,78.62
704,569,22.33
569,704,22.33
533,381,20.78
952,621,44.04
953,1752,42.96
954,568,34.79
840,1032,38.17
955,1935,61.69
272,2340,21.1
957,715,73.65
488,1760,16.37
958,966,30.9
959,256,72.17
961,1000,18.14
962,963,46.08
963,878,46.08
964,807,150.87
965,1079,83.62
647,549,54.56
549,647,54.56
966,713,59.91
184,814,17.81
882,323,21.28
323,882,21.28
398,754,111.75
186,1031,41.43
967,183,32.39
194,2195,209.73
349,1338,113.35
968,744,20.6
233,243,56.82
964,969,50.0
969,970,50.0
970,971,25.41
971,807,25.42
972,1410,90.47
270,973,50.0
973,270,50.0
973,974,30.42
974,973,30.42
974,580,30.42
580,974,30.42
975,1294,113.93
767,163,54.75
976,2258,57.23
412,977,36.33
977,248,36.33
978,611,20.99
980,1263,97.82
981,1907,19.48
982,961,23.24
952,620,25.21
669,1115,80.54
983,596,20.4
682,960,75.13
300,851,31.45
272,2298,31.07
636,620,57.7
984,985,197.31
985,860,197.32
986,263,125.12
622,667,33.2
987,209,28.11
988,1555,39.53
989,198,34.54
693,990,62.69
990,693,62.69
991,992,35.92
992,425,40.69
995,912,22.81
996,511,127.9
419,956,58.97
633,550,30.27
997,145,26.33
682,687,40.03
998,379,101.55
999,515,18.28
1000,1884,138.67
1001,917,28.77
1002,1056,36.62
1003,441,76.12
766,1004,45.67
1004,1120,45.67
1005,1169,97.38
1006,779,57.66
1007,708,71.81
1008,1009,35.57
1009,1615,35.57
948,1010,36.95
1010,948,36.95
1010,1011,36.95
1011,1010,36.95
1012,654,58.56
499,1595,28.99
771,1013,27.86
1013,1621,27.87
1014,1127,57.56
553,567,17.37
979,1015,126.68
1015,979,126.68
1016,1242,38.99
1017,958,106.03
202,329,32.7
329,202,32.7
1018,817,18.09
1019,805,81.64
1020,199,57.46
1021,339,20.56
994,1085,15.51
425,2298,18.9
1022,4247,28.97
216,981,57.18
1023,722,67.05
1024,1025,50.0
1025,1024,50.0
1025,1026,50.0
1026,1025,50.0
1026,1027,43.11
1027,1026,43.11
1027,941,43.11
941,1027,43.11
884,933,17.16
543,4248,38.23
1028,1063,15.29
1029,675,26.18
1030,4253,108.75
312,157,45.01
1031,835,67.91
593,705,20.54
705,593,20.54
1032,209,94.16
497,783,67.62
383,2248,174.19
637,199,57.34
806,534,16.06
483,1697,28.35
594,342,24.08
1034,1314,35.56
1023,1035,50.0
1035,1036,30.54
1036,1167,30.54
903,1037,51.34
1037,903,51.34
231,599,17.96
550,1038,30.48
1038,991,30.48
1039,802,24.47
305,1040,33.51
1040,305,33.51
1040,945,33.51
945,1040,33.51
